,code,title,points_r1,points_r2,points_r1_info,points_r2_info
467,TR052,Dental Science,602.0,602.0,Randomly Selected,Randomly Selected
468,TR053,Physiotherapy,544.0,544.0,Randomly Selected,Randomly Selected
469,TR054,Occupational Therapy,520.0,520.0,,
470,TR055,Radiation Therapy,521.0,521.0,,
471,TR056,Human Health and Disease,565.0,565.0,,
472,TR060,Biological and Biomedical Sciences,542.0,542.0,Randomly Selected,Randomly Selected
473,TR061,Chemical Sciences,520.0,520.0,Randomly Selected,Randomly Selected
474,TR062,Geography and Geoscience,485.0,485.0,,
475,TR063,Physical Sciences,543.0,543.0,Randomly Selected,Randomly Selected
476,TR072,Pharmacy,577.0,577.0,Randomly Selected,Randomly Selected
477,TR080,Global Business,577.0,577.0,,
478,TR081,"Business, Economic and Social Studies (BESS)",542.0,542.0,Randomly Selected,Randomly Selected
479,TR082,Computer Science and Business,542.0,542.0,,
480,TR083,Sociology and Social Policy,474.0,474.0,,
481,TR084,Social Studies (Social Work),462.0,462.0,Randomly Selected,Randomly Selected
482,TR085,Business Studies and French,553.0,553.0,,
483,TR086,Business Studies and German,495.0,495.0,,
484,TR087,Business Studies and Russian,487.0,487.0,,
485,TR089,Business Studies and Polish,434.0,434.0,,
486,TR090,Business Studies and Spanish,543.0,543.0,,
487,TR091,General Nursing (Meath and St James`s),420.0,420.0,Randomly Selected,Randomly Selected
488,TR093,General Nursing (Adelaide School of Nursing),409.0,409.0,Randomly Selected,Randomly Selected
489,TR095,Mental Health Nursing,377.0,377.0,,
490,TR097,Intellectual Disability Nursing,350.0,350.0,,
491,TR911,Children`s and General Nursing (Integrated),487.0,487.0,Randomly Selected,Randomly Selected
492,TR913,Midwifery,462.0,462.0,,
493,DN100,Architecture,509.0,509.0,,
494,DN120,Landscape Architecture,403.0,403.0,,
495,DN130,City Planning and Environmental Policy,421.0,421.0,,
496,DN150,Engineering (Common Entry),554.0,554.0,,
497,DN200,Science (options),554.0,554.0,,
498,DN201,Computer Science (Common Entry),509.0,509.0,,
499,DN230,Actuarial and Financial Studies,589.0,589.0,,
500,DN250,Agricultural Science (options),462.0,462.0,,
501,DN252,Dairy Business,428.0,428.0,,
502,DN253,Agri - Environmental Sciences,419.0,419.0,,
503,DN261,Food Science,467.0,467.0,,
504,DN262,Human Nutrition,510.0,510.0,,
505,DN271,Forestry,361.0,361.0,,
506,DN272,"Horticulture, Landscape and Sportsturf Management",312.0,312.0,,
507,DN300,Veterinary Medicine - Undergraduate Entry,589.0,589.0,Test/Portfolio,Test/Portfolio
508,DN301,Veterinary Medicine - Graduate Entry,,,Test/Portfolio,Test/Portfolio
509,DN310,Veterinary Nursing,487.0,487.0,,
510,DN400,Medicine - Undergraduate Entry (HPAT required),745.0,745.0,Test/Portfolio,Test/Portfolio
511,DN401,Medicine - Graduate Entry (GAMSAT required),61.0,61.0,Randomly Selected,Randomly Selected
512,DN410,Radiography,522.0,522.0,,
513,DN411,Radiography - Graduate Entry,,,Test/Portfolio,Test/Portfolio
514,DN420,Physiotherapy,555.0,555.0,,
515,DN425,Health and Performance Science,509.0,509.0,,
516,DN430,Sport and Exercise Management,455.0,455.0,,
517,DN440,"Biomedical, Health and Life Sciences",579.0,579.0,Randomly Selected,Randomly Selected
518,DN450,General Nursing,420.0,420.0,,
519,DN451,Children`s and General Nursing (Integrated),499.0,499.0,Randomly Selected,Randomly Selected
520,DN452,Midwifery,452.0,452.0,,
521,DN453,Mental Health Nursing,403.0,403.0,,
522,DN520,Arts (Two Subjects),408.0,408.0,,
523,DN530,Humanities (options),411.0,411.0,,
524,DN541,Modern Languages (options),412.0,412.0,,
525,DN600,Law (options),532.0,532.0,Randomly Selected,Randomly Selected
526,DN610,Business and Law,543.0,543.0,,
527,DN650,Commerce,510.0,510.0,Randomly Selected,Randomly Selected
528,DN660,Commerce International (options),531.0,531.0,,
529,DN670,Economics and Finance,601.0,601.0,,
530,DN700,Social Sciences (options),441.0,441.0,,
531,DN710,Economics,488.0,488.0,,
532,DN720,Psychology,531.0,531.0,,
533,DN750,Social Policy and Sociology,366.0,366.0,,
534,DK810,Accounting and Finance,391.0,391.0,,
535,DK816,Business Studies,357.0,357.0,,
536,DK820,Computing in Games Development,369.0,369.0,,
537,DK821,Computing in Software Development,347.0,347.0,,
538,DK830,Building Surveying,349.0,349.0,,
539,DK831,Architectural Technology,366.0,366.0,,
540,DK832,Construction Management,329.0,329.0,,
541,DK843,Engineering (Common Entry),402.0,402.0,,
542,DK860,Music,649.0,649.0,Test/Portfolio,Test/Portfolio
543,DK861,Arts,358.0,358.0,,
544,DK862,Social Care,338.0,338.0,,
545,DK863,Creative Media,376.0,376.0,,
546,DK864,Film and Television Production,332.0,332.0,,
547,DK865,Audio and Music Production,346.0,346.0,,
548,DK870,General Nursing,401.0,401.0,,
549,DK872,Intellectual Disability Nursing,317.0,317.0,,
550,DK874,Mental Health Nursing,378.0,378.0,,
551,DK876,Early Childhood Studies,359.0,359.0,,
552,DK877,Midwifery,441.0,441.0,Randomly Selected,Randomly Selected
553,DK880,Health and Physical Activity,367.0,367.0,,
554,DK882,Agriculture (Award options),358.0,358.0,,
555,DK883,Science (Award options),369.0,369.0,,
556,GA181,Accounting,378.0,378.0,,
557,GA182,Business,347.0,347.0,,
558,GA183,Business Information Systems,373.0,373.0,,
559,GA184,Marketing and Sales,348.0,348.0,,
560,GA185,Finance and Economics,398.0,398.0,,
561,GA186,Business with Entrepreneurship,328.0,328.0,,
562,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),367.0,367.0,,
563,GA281,Film and Documentary,360.0,360.0,,
564,GA282,Heritage Studies,308.0,308.0,,
565,GA283,Contemporary Art,340.0,340.0,,
566,GA284,Design,377.0,377.0,,
567,GA380,International Hotel Management,289.0,289.0,,
568,GA381,International Tourism Management,290.0,290.0,,
569,GA382,Culinary and Gastronomic Science,316.0,316.0,,
570,GA384,Event Management with Public Relations,289.0,289.0,,
571,GA385,Retail Management,319.0,319.0,,
572,GA480,Construction Management,312.0,312.0,,
573,GA482,Quantity Surveying and Construction Economics,340.0,340.0,,
574,GA483,Architectural Technology,321.0,321.0,,
575,GA484,Civil Engineering,362.0,362.0,,
576,GA580,Software and Electronic Engineering,351.0,351.0,,
577,GA680,Mechanical Engineering,389.0,389.0,,
578,GA681,Energy Engineering,328.0,328.0,,
579,GA682,Biomedical Engineering,383.0,383.0,,
580,GA683,Agricultural Engineering,365.0,365.0,,
581,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),406.0,406.0,,
582,GA780,Applied Freshwater and Marine Biology,360.0,360.0,,
583,GA781,Applied Biology and Biopharmaceutical Science,376.0,376.0,,
584,GA782,Chemical and Pharmaceutical Science,346.0,346.0,,
585,GA783,Physics and Instrumentation,378.0,378.0,,
586,GA784,Science (Undenominated),377.0,377.0,,
587,GA785,Medical Science,486.0,486.0,,
588,GA786,Forensic Science and Analysis,366.0,366.0,,
589,GA787,Computing in Software Development,327.0,327.0,,
590,GA788,Computing and Digital Media,327.0,327.0,,
591,GA789,Agriculture and Environmental Management (Mountbellew Campus),339.0,339.0,,
592,GA790,Sport and Exercise Science,379.0,379.0,,
593,GA791,Public Health Nutrition,397.0,397.0,,
594,GA880,General Nursing - Mayo Campus,400.0,400.0,Randomly Selected,Randomly Selected
595,GA882,Psychiatric Nursing - Mayo Campus,370.0,370.0,,
596,GA885,Outdoor Education - Mayo Campus,298.0,298.0,,
597,GA887,History and Geography - Mayo Campus,296.0,296.0,,
598,GA889,Applied Social Care - Mayo Campus,297.0,297.0,,
599,GA890,Early Childhood Care and Education - Mayo Campus,319.0,319.0,,
600,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,389.0,389.0,,
601,GA981,Furniture Design and Manufacture - Letterfrack Campus,350.0,350.0,,
602,GA982,Furniture and Wood Technology - Letterfrack Campus,352.0,352.0,,
603,GY101,Arts (Joint-Honours),374.0,374.0,,
604,GY104,Arts (Psychology),529.0,529.0,,
605,GY105,Arts (History),358.0,358.0,,
606,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),397.0,397.0,,
607,GY109,Arts (Mathematics and Education),487.0,487.0,,
608,GY110,Arts with Children's Studies,409.0,409.0,,
609,GY111,Arts with Creative Writing,472.0,472.0,,
610,GY112,Arts with Film Studies,370.0,370.0,,
611,GY113,Arts with Human Rights,409.0,409.0,,
612,GY115,Arts with Performing Arts Studies,367.0,367.0,,
613,GY118,"Arts (Drama, Theatre and Performance Studies)",451.0,451.0,,
614,GY119,Journalism,475.0,475.0,,
615,GY120,"Arts (Child, Youth and Family: Policy and Practice)",346.0,346.0,,
616,GY121,Arts (Children's Studies),389.0,389.0,,
617,GY122,Na Dána (Cumarsáid agus Gaeilge),399.0,399.0,,
618,GY123,BSc (Applied Social Sciences),388.0,388.0,,
619,GY124,Arts (Arts with Data Science),466.0,466.0,,
620,GY125,Arts (Digital Arts and Technology),379.0,379.0,,
621,GY126,Arts (English and Media Studies),451.0,451.0,,
622,GY127,Arts (Film and Digital Media),435.0,435.0,,
623,GY128,Arts (Global Languages),440.0,440.0,,
624,GY129,Arts (International),477.0,477.0,,
625,GY130,Arts (Music),444.0,444.0,,
626,GY131,Arts (History and Globalisation Studies),431.0,431.0,,
627,GY132,"Government (Politics, Economics and Law)",444.0,444.0,,
628,GY133,Education (Computer Science and Mathematical  Studies),466.0,466.0,,
629,GY201,Commerce,453.0,453.0,,
630,GY202,Commerce (International) with French,513.0,513.0,,
631,GY203,Commerce (International) with German,541.0,541.0,,
632,GY204,Commerce (International) with Spanish,500.0,500.0,,
633,GY206,Business Information Systems (Work Placement & Optional Int`l Study),445.0,445.0,,
634,GY207,Commerce (Accounting) including optional Global Experience year,510.0,510.0,,
635,GY208,Commerce (Gaeilge),488.0,488.0,,
636,GY209,Commerce (Global Experience),531.0,531.0,,
637,GY250,Law & Business,467.0,467.0,,
638,GY251,Law,498.0,498.0,,
639,GY252,Law & Human Rights,521.0,521.0,,
640,GY261,"Business Studies (International Hotel Management, Shannon)",615.0,615.0,Test/Portfolio,Test/Portfolio
641,GY262,"Commerce (International Hotel Management, Shannon)",726.0,726.0,Test/Portfolio,Test/Portfolio
642,GY301,Science,456.0,456.0,,
643,GY303,Biomedical Science,566.0,566.0,,
644,GY304,Biotechnology,507.0,507.0,,
645,GY308,Environmental Science,440.0,440.0,,
646,GY309,Financial Mathematics and Economics,498.0,498.0,,
647,GY310,Marine Science,456.0,456.0,,
648,GY313,Environmental Health and Safety,435.0,435.0,,
649,GY314,Earth and Ocean Sciences,425.0,425.0,,
650,GY318,Biopharmaceutical Chemistry,532.0,532.0,,
651,GY319,Mathematical Science,531.0,531.0,,
652,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",487.0,487.0,,
653,GY350,Computer Science and Information Technology,466.0,466.0,,
654,GY401,Engineering (Undenominated),499.0,499.0,,
655,GY402,Civil Engineering,543.0,543.0,,
656,GY405,Mechanical Engineering,499.0,499.0,,
657,GY406,Electronic and Computer Engineering,547.0,547.0,,
658,GY408,Biomedical Engineering,543.0,543.0,,
659,GY410,Project and Construction Management,464.0,464.0,,
660,GY413,Energy Systems Engineering,589.0,589.0,,
661,GY414,Electrical and Electronic Engineering,487.0,487.0,,
662,GY501,"Medicine (five year/six year course, HPAT required)",731.0,731.0,Randomly Selected,Randomly Selected
663,GY502,Occupational Therapy,543.0,543.0,,
664,GY503,Speech and Language Therapy,543.0,543.0,,
665,GY504,Podiatric Medicine,463.0,463.0,,
666,GY515,General Nursing (Galway and Portiuncula),466.0,466.0,,
667,GY516,Mental Health Nursing,413.0,413.0,,
668,GY517,Midwifery,468.0,468.0,,
669,LY108,Business - Accounting,399.0,399.0,,
670,LY118,Business,352.0,352.0,,
671,LY208,Law,359.0,359.0,,
672,LY218,Business - with Spanish/Irish options,367.0,367.0,,
673,LY228,Sports and Exercise (Common Entry),330.0,330.0,,
674,LY408,Design (Common Entry),368.0,368.0,Test/Portfolio,Test/Portfolio
675,LY508,Fire Safety Engineering,299.0,299.0,,
676,LY518,Quantity Surveying,368.0,368.0,,
677,LY528,Construction Management,291.0,291.0,,
678,LY608,Mechanical Engineering,333.0,333.0,,
679,LY618,Electronics and Embedded Systems,339.0,339.0,,
680,LY708,Applied Computing,348.0,348.0,,
681,LY818,Science (Common Entry),371.0,371.0,,
682,LY828,Agriculture (Common Entry),342.0,342.0,,
683,LY908,General Nursing,390.0,390.0,,
684,LY918,Psychiatric Nursing,332.0,332.0,Randomly Selected,Randomly Selected
685,LY928,Intellectual Disability Nursing,299.0,299.0,,
686,LY968,"Early Childhood Care, Health and Education",336.0,336.0,,
687,LY978,Health & Social Care (Common Entry),299.0,299.0,,
688,MI001,Contemporary & Applied Theatre Studies,381.0,381.0,,
689,MI002,Arts (offered in conjunction with the University of Limerick),378.0,378.0,,
690,MI005,Education - Primary Teaching,506.0,506.0,Randomly Selected,Randomly Selected
691,MI006,Education - Primary Teaching (Gaeltacht Applicants),473.0,473.0,Test/Portfolio,Test/Portfolio
692,MI007,Early Childhood Care and Education,402.0,402.0,,
693,MI008,Education and Psychology - Primary Teaching,555.0,555.0,,
694,MI009,"Education, Business Studies and Accounting (Thurles Campus)",420.0,420.0,,
695,MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",355.0,355.0,,
696,MI011,"Education, Irish and Religious Studies (Thurles Campus)",387.0,387.0,,
697,MI012,"Education, Irish and Business Studies (Thurles Campus)",440.0,440.0,,
698,MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",465.0,465.0,,
699,CI101,Counselling and Psychotherapy (Limerick),328.0,328.0,,
700,LC110,"Art and Design (Common Entry, portfolio)",918.0,918.0,Test/Portfolio,Test/Portfolio
701,LC114,Fashion and Textiles for Product and Costume (portfolio),988.0,988.0,Test/Portfolio,Test/Portfolio
702,LC220,Digital Marketing,288.0,288.0,,
703,LC223,Law and Taxation,372.0,372.0,,
704,LC224,Accounting and Finance,382.0,382.0,,
705,LC225,Marketing and Management,337.0,337.0,,
706,LC226,Enterprise and Innovation,298.0,298.0,,
707,LC233,Software Development,371.0,371.0,,
708,LC234,Interactive Digital Media,288.0,288.0,,
709,LC236,Internet Systems Development,319.0,319.0,,
710,LC239,Computer Networks and Systems Management,347.0,347.0,,
711,LC241,Construction Management,303.0,303.0,,
712,LC242,Property Valuation and Management,328.0,328.0,,
713,LC243,Quantity Surveying,360.0,360.0,,
714,LC248,Built Environment (Common Entry),350.0,350.0,,
715,LC252,Civil Engineering Management,331.0,331.0,,
716,LC263,Clinical Technology,359.0,359.0,,
717,LC265,Forensic and Pharmaceutical Sciences,368.0,368.0,,
718,LC266,Drug and Medicinal Product Analysis,299.0,299.0,,
719,LC275,Electrical Engineering,340.0,340.0,,
720,LC288,Mechanical Engineering,360.0,360.0,,
721,LC289,Precision Engineering,369.0,369.0,,
722,LC292,Social Care Work,389.0,389.0,,
723,LC293,Business Studies with Travel and Tourism Management,326.0,326.0,,
724,LC294,Business Studies with Event Management,300.0,300.0,,
725,LC295,Business Studies with Sports Management,298.0,298.0,,
726,LC297,Community Development,269.0,269.0,,
727,LC320,Business,378.0,378.0,,
728,LC330,Business with Computing,326.0,326.0,,
729,LC340,Interior Design,349.0,349.0,,
730,LC362,Biotechnology and Biopharmaceutical Sciences,402.0,402.0,,
731,LC371,Creative Broadcast and Film Production,339.0,339.0,,
732,LC372,Music Technology and Production,369.0,369.0,,
733,LC374,Renewable and Electrical Energy Engineering,368.0,368.0,,
734,LC375,Industrial Automation & Robotic Systems,368.0,368.0,,
735,LC376,Electronic Engineering,346.0,346.0,,
736,LC380,Automotive Engineering and Transport Management,329.0,329.0,,
737,LC392,Beauty and Spa Management,318.0,318.0,,
738,LC393,Early Childhood Education & Care,309.0,309.0,,
739,LC401,Early Childhood Education & Care (Thurles),387.0,387.0,,
740,LC402,Social Care Work (Thurles),290.0,290.0,,
741,LC408,Environmental and Geographical Sciences (Thurles),346.0,346.0,,
742,LC411,Marketing and Management (Thurles),300.0,300.0,,
743,LC418,Computing - Games Design and Development (Thurles),318.0,318.0,,
744,LC422,Sports Strength and Conditioning (Thurles),333.0,333.0,,
745,LC434,Environmental Management in Agriculture (Thurles),347.0,347.0,,
746,LC502,"Game Art and Design (Clonmel, portfolio)",950.0,950.0,Test/Portfolio,Test/Portfolio
747,LC517,Creative Media and Design (Clonmel),273.0,273.0,,
748,LC518,"Digital Animation Production (Clonmel, portfolio)",962.0,962.0,Test/Portfolio,Test/Portfolio
749,LC612,Social Care Work (Ennis),338.0,338.0,,
750,LC613,Early Childhood Education & Care (Ennis),388.0,388.0,,
751,LM002,Arts (offered in conjunction with Mary Immaculate College),388.0,388.0,,
752,LM020,Law and Accounting,476.0,476.0,,
753,LM026,Performing Arts (audition required),367.0,367.0,Test/Portfolio,Test/Portfolio
754,LM028,Criminal Justice,409.0,409.0,,
755,LM029,Law Plus,499.0,499.0,,
756,LM038,Psychology and Sociology,489.0,489.0,,
757,LM039,Journalism and New Media,430.0,430.0,,
758,LM040,European Studies,462.0,462.0,,
759,LM044,Applied Languages,473.0,473.0,,
760,LM050,Business Studies,455.0,455.0,,
761,LM056,International Business,543.0,543.0,,
762,LM058,Financial Mathematics,543.0,543.0,,
763,LM063,Technology Management,409.0,409.0,,
764,LM068,Food Science and Health,430.0,430.0,,
765,LM076,Product Design and Technology (portfolio required),466.0,466.0,Test/Portfolio,Test/Portfolio
766,LM077,Aeronautical Engineering,531.0,531.0,,
767,LM082,Construction Management and Engineering,404.0,404.0,,
768,LM089,Sport and Exercise Sciences,466.0,466.0,,
769,LM090,Physical Education with concurrent Teacher Education,520.0,520.0,Randomly Selected,Randomly Selected
770,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),509.0,509.0,,
771,LM093,Equine Science,381.0,381.0,,
772,LM094,Materials and Architectural Technology with concurrent Teacher Education,433.0,433.0,,
773,LM095,Materials and Engineering Technology with concurrent Teacher Education,409.0,409.0,,
774,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),422.0,422.0,,
775,LM099,Architecture (portfolio required),473.0,473.0,Test/Portfolio,Test/Portfolio
776,LM100,Physiotherapy,577.0,577.0,Randomly Selected,Randomly Selected
777,LM101,Medicine  - Graduate Entry (GAMSAT required),57.0,57.0,Randomly Selected,Randomly Selected
778,LM102,Psychology,519.0,519.0,,
779,LM103,Paramedic Studies (B and C1 Drivers Licence),403.0,403.0,Test/Portfolio,Test/Portfolio
780,LM115,Chemical and Biochemical Engineering,520.0,520.0,,
781,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),498.0,498.0,,
782,LM118,Electronic and Computer Engineering,498.0,498.0,,
783,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),420.0,420.0,,
784,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),430.0,430.0,,
785,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),455.0,455.0,,
786,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Science),521.0,521.0,,
787,LM125,Physics (Applied Physics/Mathematics and Physics),509.0,509.0,,
788,LM150,General Nursing,463.0,463.0,Randomly Selected,Randomly Selected
789,LM152,Mental Health Nursing,418.0,418.0,,
790,LM154,Intellectual Disability Nursing,408.0,408.0,Randomly Selected,Randomly Selected
791,LM156,Midwifery,444.0,444.0,,
792,MU001,Theology and Arts,318.0,318.0,,
793,MU002,Theology,377.0,377.0,,
794,MH001,Education - Primary Teaching (Froebel),520.0,520.0,Randomly Selected,Randomly Selected
795,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,Randomly Selected,Randomly Selected
796,MH101,Arts,369.0,369.0,,
797,MH103,Music,367.0,367.0,Test/Portfolio,Test/Portfolio
798,MH106,Psychology - 3 years,499.0,499.0,,
799,MH107,Social Science,349.0,349.0,,
800,MH109,Media Studies,377.0,377.0,,
801,MH116,Community and Youth Work (Full-Time),271.0,271.0,Test/Portfolio,Test/Portfolio
802,MH201,Science,392.0,392.0,,
803,MH202,Biotechnology,446.0,446.0,,
804,MH204,Physics with Astrophysics,488.0,488.0,,
805,MH206,Theoretical Physics and Mathematics,566.0,566.0,,
806,MH207,Data Science,466.0,466.0,,
807,MH208,Biological and Biomedical Sciences,476.0,476.0,,
808,MH209,Psychology (through Science) - 4 years,485.0,485.0,,
809,MH210,Pharmaceutical and Biomedical Chemistry,466.0,466.0,,
810,MH212,Science/Computer Science/Mathematics (with Education) - options,476.0,476.0,,
811,MH304,Engineering (Computer/Electronic/Communications),423.0,423.0,,
812,MH305,Product Design,411.0,411.0,,
813,MH306,Robotics and Intelligent Devices,424.0,424.0,,
814,MH401,Finance (options),392.0,392.0,,
815,MH402,Quantitative Finance,487.0,487.0,,
816,MH403,Accounting and Finance,432.0,432.0,,
817,MH404,Business (options),429.0,429.0,,
818,MH405,Equine Business,398.0,398.0,,
819,MH407,Business and Accounting,420.0,420.0,,
820,MH411,Entrepreneurship,388.0,388.0,,
821,MH501,LLB Law - four year Single Major Law programme,476.0,476.0,,
822,MH502,Law (options),442.0,442.0,,
823,MH601,Computer Science through Arts (options),369.0,369.0,,
824,MH602,Computer Science through Science (options),413.0,413.0,,
825,MH603,Computational Thinking,543.0,543.0,,
826,MH801,Early Childhood - Teaching and Learning (part-time),358.0,358.0,,
827,MH802,"Community and Youth Work (part-time, in service",,,Test/Portfolio,Test/Portfolio
828,MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",,,Test/Portfolio,Test/Portfolio
829,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",497.0,497.0,Randomly Selected,Randomly Selected
830,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",433.0,433.0,Randomly Selected,Randomly Selected
831,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",457.0,457.0,,
832,AS051,"Nutrition, Food and Business Management",399.0,399.0,,
833,AS054,Home Economics,401.0,401.0,,
834,AS110,General Nursing,409.0,409.0,Randomly Selected,Randomly Selected
835,AS130,Intellectual Disability Nursing,338.0,338.0,,
836,SG141,Business,317.0,317.0,,
837,SG142,Business in International Marketing and Sales with French,388.0,388.0,,
838,SG144,Business in International Marketing and Sales with Spanish,388.0,388.0,,
839,SG146,Accounting,347.0,347.0,,
840,SG147,Sport with Business,316.0,316.0,,
841,SG148,Tourism with Event Management,282.0,282.0,,
842,SG149,Business in Finance and Investment,357.0,357.0,,
843,SG241,Performing Arts,348.0,348.0,,
844,SG242,Early Childhood Care and Education,318.0,318.0,,
845,SG243,Social Care Practice,338.0,338.0,,
846,SG244,Fine Art,496.0,496.0,Test/Portfolio,Test/Portfolio
847,SG245,Creative Design,338.0,338.0,,
848,SG246,Computing,368.0,368.0,,
849,SG247,English and Psychology,336.0,336.0,,
850,SG248,Sociology and Politics,320.0,320.0,,
851,SG249,Writing and Literature,338.0,338.0,,
852,SG250,Application Design and User Experience,431.0,431.0,,
853,SG251,Computing (Smart Technologies),391.0,391.0,,
854,SG252,Software Development,354.0,354.0,,
855,SG253,Computer Networks and Cloud Infrastructure,341.0,341.0,,
856,SG343,Quantity Surveying,302.0,302.0,,
857,SG346,Construction Project Management and Applied Technology,351.0,351.0,,
858,SG347,Architecture,357.0,357.0,,
859,SG441,Environmental Science,358.0,358.0,,
860,SG442,Occupational Safety and Health,330.0,330.0,,
861,SG443,Human Nutrition,419.0,419.0,,
862,SG444,Science (Undenominated),369.0,369.0,,
863,SG445,Pharmaceutical Science with Drug Development,369.0,369.0,,
864,SG446,Applied Archaeology,290.0,290.0,,
865,SG447,Health Science and Physical Activity,363.0,363.0,,
866,SG448,Forensic Investigation and Analysis,348.0,348.0,,
867,SG449,Medical Biotechnology,352.0,352.0,,
868,TL801,Animation Visual Effects and Motion Design,341.0,341.0,,
869,TL802,"TV, Radio and New Media",356.0,356.0,,
870,TL803,Music Technology,288.0,288.0,,
871,TL810,Computing with Software Development,341.0,341.0,,
872,TL811,Computing with Games Development,334.0,334.0,,
873,TL812,Computing with Digital Media,369.0,369.0,,
874,TL815,Computing (Degree Award options),378.0,378.0,,
875,TL823,Event Management (3 year programme),346.0,346.0,,
876,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),372.0,372.0,,
877,TL842,Construction Management,,,,
878,TL844,Agricultural Engineering,368.0,368.0,,
879,TL845,Civil Engineering,364.0,364.0,,
880,TL847,Manufacturing Engineering,,,,
881,TL848,Agricultural Science,362.0,362.0,,
882,TL851,Wildlife Biology (Degree Award options),362.0,362.0,,
883,TL855,Pharmaceutical Science (Degree Award options),386.0,386.0,,
884,TL858,Veterinary Bioscience,369.0,369.0,,
885,TL871,Health and Leisure (Degree Award options),346.0,346.0,,
886,TL872,Health and Leisure with Massage,357.0,357.0,,
887,TL873,Coaching and Sports Performance,336.0,336.0,,
888,TL880,Early Childhood Care and Education,347.0,347.0,,
889,TL881,Social Care,356.0,356.0,,
890,TL889,Counselling with Addiction - Mature applicants only,,,Test/Portfolio,Test/Portfolio
891,TL890,General Nursing and Mature Applicants,431.0,431.0,,
892,TL891,Mental Health Nursing and Mature Applicants,379.0,379.0,Randomly Selected,Randomly Selected
893,WD001,Applied Computing (options),358.0,358.0,,
894,WD002,Science (options),377.0,377.0,,
895,WD005,Health Sciences (options),347.0,347.0,,
896,WD006,Exercise Sciences (options),337.0,337.0,,
897,WD007,Engineering (options),382.0,382.0,,
898,WD025,Construction Management and Engineering,327.0,327.0,,
899,WD027,Music,317.0,317.0,Test/Portfolio,Test/Portfolio
900,WD048,Business (options),357.0,357.0,,
901,WD084,Accounting,403.0,403.0,,
902,WD091,Hospitality Management,281.0,281.0,,
903,WD116,General Nursing,430.0,430.0,,
904,WD117,Psychiatric Nursing,382.0,382.0,,
905,WD120,Intellectual Disability Nursing,359.0,359.0,,
906,WD134,International Business,350.0,350.0,,
907,WD137,Design (Visual Communications),373.0,373.0,,
908,WD140,Laws,352.0,352.0,,
909,WD144,Architecture,385.0,385.0,,
910,WD147,Pharmaceutical Science,363.0,363.0,,
911,WD148,Tourism Marketing,338.0,338.0,,
912,WD149,Early Childhood Studies,336.0,336.0,,
913,WD150,Criminal Justice Studies,311.0,311.0,,
914,WD152,Visual Art,323.0,323.0,,
915,WD161,Computer Forensics and Security,401.0,401.0,,
916,WD162,Quantity Surveying,320.0,320.0,,
917,WD163,Psychology,429.0,429.0,,
918,WD186,Sports Coaching and Performance,327.0,327.0,,
919,WD187,Social Science,321.0,321.0,,
920,WD191,Agricultural Science,421.0,421.0,,
921,WD192,Social Care Practice,323.0,323.0,,
922,WD193,Marketing and Digital Media,358.0,358.0,,
923,WD194,Culinary Arts,331.0,331.0,,
924,WD195,Architectural and Building Information Modelling Technology,305.0,305.0,,
925,WD200,Arts (options),296.0,296.0,,
926,WD210,Software Systems Development,329.0,329.0,,
927,WD211,Creative Computing,322.0,322.0,,
928,WD212,Recreation and Sport Management,311.0,311.0,,
929,WD230,Mechanical and Manufacturing Engineering,348.0,348.0,,
