,Code,Course Title,Round 1 Points,Round 2 Points,EOS Points,Mid Point
646,GY111,Arts with Creative Writing,330.0,,330.0,492.0
647,GY112,Arts with Film Studies,321.0,,321.0,399.0
648,GY113,Arts with Human Rights,368.0,,368.0,422.0
649,GY115,Arts with Performing Arts Studies,387.0,,387.0,443.0
650,GY118,"Arts (Drama, Theatre and Performance Studies)",451.0,,451.0,492.0
651,GY119,Arts (Journalism),400.0,,400.0,465.0
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350.0,,350.0,397.0
653,GY121,Arts (Children`s Studies),356.0,,356.0,419.0
654,GY122,Na Dána (Cumarsáid agus Gaeilge),361.0,,361.0,453.0
655,GY123,Applied Social Sciences,358.0,,358.0,410.0
656,GY124,Arts (Arts with Data Science),454.0,,454.0,490.0
657,GY125,Arts (Digital Arts and Technology),328.0,,328.0,347.0
658,GY126,Arts (English and Media Studies),391.0,,391.0,462.0
659,GY127,Arts (Film and Digital Media),401.0,,401.0,462.0
660,GY128,Arts (Global Languages),352.0,,352.0,476.0
661,GY129,Arts (International),420.0,,420.0,462.0
662,GY130,Arts (Music),408.0,,408.0,495.0
663,GY131,Arts (History and Globalisation Studies),360.0,,360.0,440.0
664,GY132,"Government (Politics, Economics and Law)",407.0,,407.0,435.0
665,GY133,Education (Computer Science and Mathematical Studies),422.0,,422.0,498.0
666,GY134,Geography and Geosystems,410.0,,410.0,445.0
667,GY201,Commerce,433.0,,433.0,466.0
668,GY202,Commerce (International) with French,484.0,,484.0,511.0
669,GY203,Commerce (International) with German,489.0,,489.0,566.0
670,GY204,Commerce (International) with Spanish,495.0,,495.0,511.0
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465.0,,465.0,488.0
672,GY207,Commerce (Accounting) including optional Global Experience year,509.0,,509.0,543.0
673,GY208,Commerce (Gaeilge),473.0,,473.0,511.0
674,GY209,Commerce (Global Experience),530.0,,530.0,554.0
675,GY250,Law and Business,487.0,,487.0,510.0
676,GY251,Law (BCL),499.0,,499.0,518.0
677,GY252,Law (BCL) and Human Rights,520.0,,520.0,541.0
678,GY253,Law and Taxation,509.0,,509.0,543.0
679,GY254,"Law (BCL), Criminology and Criminal Justice",530.0,,530.0,554.0
680,GY261,"Business Studies (International Hotel Management, interview)",497.0,,497.0,611.0
681,GY262,"Commerce (International Hotel Management, interview)",681.0,,681.0,724.0
682,GY301,Science,433.0,432.0,432.0,487.0
683,GY303,Biomedical Science,556.0,,556.0,589.0
684,GY304,Biotechnology,465.0,,465.0,498.0
685,GY308,Environmental Science,408.0,,408.0,484.0
686,GY309,Financial Mathematics and Economics,487.0,,487.0,532.0
687,GY310,Marine Science,419.0,,419.0,476.0
688,GY313,Environmental Health and Safety,412.0,,412.0,440.0
689,GY314,Earth and Ocean Sciences,403.0,,403.0,444.0
690,GY318,Biopharmaceutical Chemistry,509.0,,509.0,542.0
691,GY319,Mathematical Science,476.0,,476.0,566.0
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402.0,,402.0,478.0
693,GY321,Genetics and Genomics,508.0,,508.0,532.0
694,GY350,Computer Science and Information Technology,403.0,,403.0,454.0
695,GY401,Engineering (Undenominated),465.0,,465.0,511.0
696,GY402,Civil Engineering,455.0,,455.0,499.0
697,GY405,Mechanical Engineering,454.0,,454.0,509.0
698,GY406,Electronic and Computer Engineering,510.0,,510.0,544.0
699,GY408,Biomedical Engineering,509.0,,509.0,554.0
700,GY410,Project and Construction Management,403.0,,403.0,456.0
701,GY413,Energy Systems Engineering,502.0,,502.0,531.0
702,GY414,Electrical and Electronic Engineering,405.0,,405.0,429.0
703,GY501,"Medicine (five year/six year course, HPAT required)",728.0,,728.0,731.0
704,GY502,Occupational Therapy,555.0,,555.0,567.0
705,GY503,Speech and Language Therapy,543.0,,543.0,554.0
706,GY504,Podiatric Medicine,443.0,,443.0,476.0
707,GY515,General Nursing (Galway and Portiuncula),476.0,473.0,473.0,496.0
708,GY516,Mental Health Nursing,440.0,,440.0,467.0
709,GY517,Midwifery,495.0,,495.0,518.0
710,ID001,Accounting and Finance,203.0,,203.0,253.0
711,ID002,Business Studies,294.0,,294.0,309.0
712,LC110,"Art and Design (Common Entry, portfolio)",740.0,,740.0,961.0
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880.0,,880.0,1029.0
714,LC115,Art and Design Teacher Education (portfolio),942.0,,942.0,1013.0
715,LC220,Digital Marketing,262.0,,262.0,298.0
718,LC223,Law and Taxation,307.0,,307.0,356.0
719,LC224,Accounting and Finance,300.0,,300.0,371.0
720,LC225,Marketing and Management,298.0,,298.0,358.0
721,LC226,Enterprise and Innovation,234.0,234.0,234.0,310.0
724,LC233,Software Development,272.0,,272.0,339.0
725,LC234,Interactive Digital Media,225.0,,225.0,307.0
727,LC236,Internet Systems Development,262.0,260.0,260.0,272.0
728,LC239,Computer Networks and Systems Management,307.0,,309.0,371.0
729,LC241,Construction Management,255.0,,255.0,338.0
730,LC242,Property Valuation and Management,282.0,,282.0,320.0
731,LC243,Quantity Surveying,294.0,,298.0,362.0
732,LC248,Built Environment (Common Entry),288.0,,288.0,376.0
734,LC252,Civil Engineering Management,270.0,,270.0,308.0
737,LC263,Clinical Technology,294.0,,294.0,359.0
738,LC265,Forensic and Pharmaceutical Sciences,413.0,,413.0,476.0
739,LC266,Drug and Medicinal Product Analysis,262.0,,262.0,300.0
744,LC275,Electrical Engineering,298.0,,298.0,384.0
754,LC288,Mechanical Engineering,347.0,346.0,346.0,415.0
755,LC289,Precision Engineering,291.0,,291.0,350.0
757,LC292,Social Care Work,367.0,,367.0,389.0
758,LC293,Business Studies with Travel and Tourism Management,307.0,,307.0,356.0
759,LC294,Business Studies with Event Management,279.0,,279.0,347.0
760,LC295,Business Studies with Sports Management,252.0,,252.0,313.0
761,LC297,Community Development,235.0,,235.0,298.0
762,LC320,Business,346.0,,346.0,388.0
763,LC330,Business with Computing,297.0,,297.0,378.0
765,LC340,Interior Design,350.0,,350.0,391.0
766,LC362,Biotechnology and Biopharmaceutical Sciences,413.0,,413.0,440.0
767,LC371,Creative Broadcast and Film Production,309.0,,309.0,378.0
768,LC372,Music Technology and Production,325.0,,325.0,402.0
769,LC374,Renewable and Electrical Energy Engineering,318.0,,318.0,410.0
770,LC375,Industrial Automation and Robotic Systems,317.0,,317.0,392.0
771,LC376,Electronic Engineering,318.0,,318.0,358.0
772,LC380,Automotive Engineering and Transport Management,303.0,298.0,298.0,337.0
773,LC392,Business Studies in Beauty and Spa Management,236.0,,236.0,328.0
774,LC393,Early Childhood Education and Care,236.0,,236.0,307.0
777,LC401,Early Childhood Education and Care,297.0,,297.0,298.0
778,LC402,Social Care Work,225.0,,225.0,288.0
779,LC408,Environmental Science and Climate,279.0,,279.0,348.0
780,LC414,Data Analytics and Cyber Security,236.0,,236.0,336.0
782,LC416,Business,274.0,,274.0,391.0
783,LC418,Computing - Games Design and Development,270.0,,270.0,338.0
784,LC422,Sports Strength and Conditioning,298.0,,298.0,347.0
789,LC434,Environmental Science and Agriculture,297.0,,297.0,349.0
790,LC502,Game Art and Design (portfolio),852.0,,852.0,1024.0
792,LC517,Creative Media and Design,234.0,,234.0,327.0
793,LC518,Digital Animation Production (portfolio),808.0,,808.0,939.0
797,LC612,Social Care Work,320.0,,320.0,343.0
798,LC613,Early Childhood Education and Care,242.0,,242.0,327.0
799,LM002,Arts,348.0,,348.0,410.0
800,LM020,Law and Accounting,465.0,,465.0,499.0
801,LM026,Performing Arts (audition required),303.0,,303.0,401.0
802,LM028,Criminal Justice,418.0,,418.0,440.0
803,LM029,Law Plus,490.0,,490.0,521.0
804,LM038,Psychology and Sociology,500.0,,500.0,507.0
805,LM039,Journalism and Digital Communication,402.0,,402.0,455.0
806,LM040,European Studies,369.0,,369.0,488.0
807,LM044,Applied Languages,442.0,,442.0,499.0
808,LM050,Business Studies (options),431.0,,431.0,476.0
809,LM056,International Business,528.0,,528.0,555.0
810,LM058,Financial Mathematics,403.0,,403.0,521.0
811,LM063,Technology Management,379.0,,379.0,419.0
812,LM068,Food Science and Health,421.0,,421.0,454.0
813,LM076,Product Design and Technology (portfolio required),408.0,,408.0,487.0
814,LM077,Aeronautical Engineering,520.0,,520.0,554.0
815,LM082,Construction Management and Engineering,398.0,,398.0,434.0
816,LM089,Sport and Exercise Sciences,474.0,,474.0,489.0
817,LM090,Physical Education with concurrent Teacher Education,532.0,,532.0,565.0
818,LM091,Languages with concurrent Teacher Education,517.0,,517.0,543.0
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507.0,,507.0,531.0
820,LM093,Equine Science,339.0,,339.0,412.0
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,440.0,,440.0,478.0
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,367.0,,367.0,421.0
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405.0,,405.0,454.0
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,402.0,,402.0,509.0
825,LM099,Architecture (portfolio requirement suspended),498.0,,498.0,532.0
826,LM100,Physiotherapy,589.0,,589.0,601.0
827,LM101,Medicine  - Graduate Entry (GAMSAT required),55.0,,55.0,57.0
828,LM102,Psychology,509.0,,509.0,529.0
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392.0,,392.0,445.0
830,LM115,Chemical and Biochemical Engineering,454.0,,454.0,532.0
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476.0,,476.0,521.0
832,LM118,Electronic and Computer Engineering,403.0,,403.0,489.0
833,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351.0,,351.0,423.0
834,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327.0,,327.0,401.0
835,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441.0,,441.0,478.0
836,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437.0,,437.0,509.0
837,LM125,Physics (Applied Physics or Mathematics & Physics),404.0,,404.0,520.0
838,LM150,General Nursing,475.0,,475.0,498.0
839,LM152,Mental Health Nursing,419.0,,419.0,430.0
840,LM154,Intellectual Disability Nursing,420.0,,440.0,473.0
841,LM156,Midwifery,469.0,,469.0,499.0
844,LY108,Business - Accounting,309.0,,309.0,431.0
845,LY118,Business,290.0,,290.0,377.0
848,LY208,Law,300.0,,300.0,367.0
849,LY228,Sports and Exercise - Common Entry,300.0,,300.0,367.0
852,LY408,Design - Common Entry,320.0,,320.0,381.0
858,LY508,Fire Safety Engineering,276.0,,276.0,326.0
859,LY518,Quantity Surveying,301.0,,301.0,368.0
861,LY528,Construction Management,271.0,,271.0,321.0
863,LY608,Mechanical Engineering,300.0,,300.0,379.0
865,LY618,Electronic Engineering,312.0,,312.0,402.0
867,LY708,Applied Computing,306.0,,306.0,372.0
870,LY748,Computer Science,317.0,317.0,317.0,420.0
874,LY818,Science - Common Entry,303.0,,303.0,409.0
876,LY828,Agriculture - Common Entry,307.0,,307.0,351.0
884,LY908,General Nursing,400.0,,400.0,423.0
886,LY918,Psychiatric Nursing,357.0,,357.0,387.0
887,LY928,Intellectual Disability Nursing,326.0,,328.0,346.0
888,LY968,"Early Childhood Care, Health and Education",303.0,,303.0,361.0
889,LY978,Health & Social Care - Common Entry,280.0,,280.0,330.0
890,MH001,Education - Primary Teaching (Froebel),507.0,,507.0,531.0
891,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,,
892,MH101,Arts,318.0,,318.0,388.0
893,MH103,Music,,,,
894,MH106,Psychology - 3 years,521.0,,521.0,529.0
895,MH107,Social Science,346.0,,346.0,388.0
896,MH109,Media Studies,316.0,,316.0,377.0
897,MH116,Community and Youth Work (Full-Time),,,,
898,MH201,Science,360.0,,360.0,418.0
899,MH202,Biotechnology,455.0,,455.0,466.0
900,MH203,Biological and Geographical Sciences,430.0,,430.0,465.0
901,MH204,Physics with Astrophysics,422.0,,422.0,479.0
902,MH206,Theoretical Physics and Mathematics,510.0,,510.0,533.0
903,MH207,Data Science,445.0,,445.0,520.0
904,MH208,Biological and Biomedical Sciences,498.0,,498.0,510.0
905,MH209,Psychology (through Science) - 4 years,498.0,,498.0,510.0
906,MH210,Pharmaceutical and Biomedical Chemistry,487.0,,487.0,520.0
907,MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422.0,,422.0,487.0
908,MH304,Engineering (Computer/Electronic/Communications),333.0,333.0,333.0,444.0
909,MH305,Product Design,357.0,,357.0,409.0
910,MH306,Robotics and Intelligent Devices,361.0,,361.0,433.0
911,MH401,Finance (options),357.0,,357.0,398.0
912,MH402,Quantitative Finance,476.0,,476.0,509.0
913,MH403,Accounting and Finance,422.0,,422.0,468.0
914,MH404,Business (options),430.0,,430.0,454.0
915,MH405,Equine Business,357.0,,357.0,408.0
916,MH407,Business and Accounting,420.0,,420.0,462.0
917,MH411,Entrepreneurship,371.0,,371.0,408.0
918,MH501,LLB Law - four year Single Major Law programme,473.0,,473.0,495.0
919,MH502,Law (options),451.0,,451.0,473.0
920,MH601,Computer Science through Arts (options),352.0,,352.0,403.0
921,MH602,Computer Science through Science (options),351.0,,351.0,409.0
922,MH603,Computational Thinking,532.0,,532.0,544.0
923,MH801,Early Childhood - Teaching and Learning (part-time),327.0,,327.0,378.0
924,MH802,"Community and Youth Work (part-time, in service)",,,,
925,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",,,,
926,MI001,Contemporary & Applied Theatre Studies,375.0,,390.0,412.0
927,MI002,Arts,300.0,281.0,281.0,389.0
928,MI004,Education - Primary Teaching - International,577.0,,577.0,589.0
929,MI005,Education - Primary Teaching,495.0,,495.0,521.0
930,MI006,Education - Primary Teaching - Gaeltacht Applicants,456.0,,462.0,519.0
931,MI007,Early Childhood Care and Education,357.0,,357.0,409.0
932,MI008,Education and Psychology - Primary Teaching,588.0,,588.0,601.0
933,MI009,"Education, Business Studies and Accounting",402.0,,402.0,455.0
934,MI010,"Education, Business Studies and Religious Studies",368.0,,368.0,389.0
935,MI011,"Education, Gaeilge and Religious Studies",409.0,,409.0,451.0
936,MI012,"Education, Gaeilge and Business Studies",401.0,,401.0,463.0
937,MI013,"Education, Mathematics and Gaeilge",444.0,,444.0,477.0
938,MI014,"Education, Mathematics and Business Studies",434.0,,434.0,487.0
939,MU001,Theology and Arts,290.0,290.0,290.0,349.0
940,MU002,Theology,440.0,,440.0,440.0
941,NC003,Computing (Degree Award options),260.0,,260.0,303.0
942,NC005,Human Resource Management,300.0,,300.0,331.0
943,NC009,Business,300.0,,300.0,346.0
944,NC010,Psychology,400.0,,400.0,440.0
945,NC020,Marketing Practice,280.0,,282.0,338.0
946,NC022,Accounting and Finance,337.0,,337.0,378.0
947,NC023,Technology Management (with specialisations),261.0,,261.0,282.0
952,NM801,Montessori Education,220.0,,220.0,290.0
955,PC405,"Social, Political and Community Studies",253.0,216.0,216.0,311.0
956,PC410,Arts and Humanities (fulfils Teaching Council requirements),252.0,209.0,209.0,300.0
957,PC411,English and History (fulfils Teaching Council requirements),255.0,209.0,209.0,310.0
958,RC001,Medicine - Undergraduate Entry (HPAT required),733.0,,733.0,738.0
959,RC004,Physiotherapy,566.0,,566.0,567.0
960,RC005,Pharmacy,579.0,,578.0,589.0
961,RC101,Medicine - Graduate Entry (GAMSAT required),,,61.0,63.0
970,SG141,Business,261.0,,261.0,347.0
971,SG142,Business in International Marketing and Languages (French),279.0,,279.0,386.0
972,SG144,Business in International Marketing and Languages (Spanish),270.0,,270.0,347.0
973,SG146,Accounting,309.0,,309.0,411.0
974,SG147,Sport with Business,307.0,,307.0,367.0
975,SG148,Tourism with Event Management,269.0,,269.0,340.0
980,SG241,Performing Arts,328.0,,328.0,387.0
981,SG242,Early Childhood Care and Education,279.0,,279.0,319.0
982,SG243,Social Care Practice,301.0,,301.0,346.0
983,SG244,Fine Art,505.0,,505.0,505.0
984,SG245,Creative Design,282.0,,282.0,339.0
985,SG246,Computing,290.0,,290.0,333.0
986,SG247,English and Psychology,309.0,,309.0,382.0
987,SG248,Sociology and Politics,281.0,,281.0,327.0
988,SG249,Writing and Literature,297.0,,297.0,368.0
989,SG250,Application Design and User Experience,412.0,,412.0,412.0
990,SG251,Computing (Smart Technologies),327.0,,342.0,367.0
991,SG252,Software Development,307.0,,307.0,319.0
992,SG253,Computer Networks and Cloud Infrastructure,324.0,,378.0,378.0
993,SG254,Writing and Literature Online,225.0,225.0,225.0,328.0
1005,SG342,Civil Engineering,415.0,,415.0,480.0
1006,SG343,Quantity Surveying,311.0,,311.0,367.0
1007,SG346,Construction Project Management and Applied Technology,291.0,,291.0,337.0
1008,SG347,Architecture,360.0,,360.0,411.0
1009,SG348,Interior Architecture and Design,316.0,,331.0,368.0
1020,SG442,Occupational Safety and Health,290.0,,290.0,367.0
1021,SG443,Human Nutrition,356.0,,356.0,397.0
1022,SG444,Science Undenominated,338.0,,338.0,420.0
1023,SG445,Pharmaceutical Science with Drug Development,311.0,,311.0,367.0
1024,SG447,Health Science and Physical Activity,328.0,,328.0,387.0
1025,SG448,Forensic Investigation and Analysis,306.0,,307.0,368.0
1026,SG449,Medical Biotechnology,341.0,,341.0,395.0
1027,SG450,Environmental Science with Ecology (Level 8),300.0,,304.0,368.0
1054,TL801,"Animation, Visual Effects and Motion Design (Level 8)",281.0,,281.0,349.0
1055,TL802,"TV, Radio and New Media (Level 8)",325.0,,325.0,397.0
1056,TL810,Computing with Software Development,310.0,,310.0,389.0
1057,TL811,Computing with Games Development,358.0,,358.0,
1058,TL815,Computing (Degree Award options),308.0,,308.0,360.0
1059,TL823,Event Management (3 year programme),299.0,,299.0,369.0
1060,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306.0,,306.0,381.0
1061,TL844,Agricultural Engineering,300.0,,300.0,373.0
1062,TL845,Civil Engineering,325.0,,325.0,413.0
1063,TL847,Manufacturing Engineering,302.0,,302.0,368.0
1064,TL848,Agricultural Science,308.0,,308.0,380.0
1065,TL851,Wildlife Biology (Degree Award options),309.0,,309.0,383.0
1066,TL855,Pharmaceutical Science (Degree Award options),317.0,,317.0,369.0
1067,TL858,Veterinary Bioscience,308.0,,308.0,393.0
1068,TL871,Health and Leisure (Degree Award options),300.0,,300.0,379.0
1069,TL872,Health and Leisure with Massage,309.0,,309.0,408.0
1070,TL873,Coaching and Sports Performance,289.0,,289.0,329.0
1071,TL880,Early Childhood Care and Education,307.0,,307.0,349.0
1072,TL881,Social Care,308.0,,309.0,362.0
1073,TL889,Counselling with Addiction - Mature applicants only,,,,
1074,TL890,General Nursing and Mature Applicants,440.0,414.0,414.0,441.0
1075,TL891,Mental Health Nursing and Mature Applicants,389.0,378.0,378.0,399.0
1076,TR002,Music,435.0,429.0,382.0,468.0
1077,TR003,History,497.0,493.0,456.0,511.0
1078,TR004,Law,566.0,565.0,565.0,578.0
1079,TR005,Philosophy,442.0,,442.0,476.0
1080,TR006,Psychology,567.0,555.0,555.0,578.0
1081,TR007,Clinical Speech and Language Studies,529.0,,529.0,553.0
1082,TR009,Music Education,420.0,,420.0,532.0
1083,TR012,History and Political Science,555.0,554.0,552.0,578.0
1084,TR015,"Philosophy, Political Science, Economics and Sociology",589.0,,589.0,601.0
1085,TR016,Deaf Studies,340.0,,329.0,377.0
1086,TR017,Law and Business,602.0,,602.0,613.0
1087,TR018,Law and French,565.0,,565.0,589.0
1088,TR019,Law and German,543.0,542.0,542.0,566.0
1089,TR020,Law and Political Science,602.0,,601.0,613.0
1090,TR021,"Classics, Ancient History and Archaeology",370.0,,370.0,434.0
1091,TR022,Early and Modern Irish,398.0,,398.0,451.0
1092,TR023,English Studies,487.0,476.0,474.0,511.0
1093,TR024,European Studies,544.0,542.0,530.0,566.0
1094,TR025,Drama and Theatre Studies,564.0,530.0,530.0,581.0
1095,TR028,Ancient and Medieval History and Culture,342.0,,342.0,453.0
1096,TR029,Political Science and Geography,526.0,520.0,510.0,533.0
1097,TR031,Mathematics,531.0,,531.0,589.0
1098,TR032,Engineering,510.0,509.0,508.0,533.0
1099,TR033,Computer Science,509.0,,509.0,545.0
1100,TR034,Management Science and Information Systems Studies,613.0,,613.0,625.0
1101,TR035,Theoretical Physics,543.0,,543.0,601.0
1102,TR038,Engineering with Management,532.0,,532.0,556.0
1103,TR039,Computer Science and Language,454.0,424.0,424.0,488.0
1104,TR040,Middle Eastern and European Languages and Cultures,466.0,,466.0,521.0
1105,TR041,Religion,368.0,,368.0,418.0
1106,TR042,Film,489.0,476.0,466.0,498.0
1107,TR043,History of Art and Architecture,393.0,354.0,354.0,474.0
1108,TR051,Medicine (HPAT required),735.0,734.0,734.0,745.0
1109,TR052,Dental Science,613.0,613.0,613.0,625.0
1110,TR053,Physiotherapy,566.0,566.0,566.0,567.0
1111,TR054,Occupational Therapy,533.0,,533.0,554.0
1112,TR055,Radiation Therapy,543.0,,543.0,554.0
1113,TR056,Human Health and Disease,565.0,,564.0,578.0
1114,TR060,Biological and Biomedical Sciences,543.0,543.0,543.0,566.0
1115,TR061,Chemical Sciences,517.0,510.0,510.0,532.0
1116,TR062,Geography and Geoscience,473.0,,473.0,499.0
1117,TR063,Physical Sciences,498.0,498.0,477.0,531.0
1118,TR072,Pharmacy,590.0,,590.0,613.0
1119,TR080,Global Business,589.0,,589.0,601.0
1120,TR081,"Business, Economic and Social Studies (BESS)",543.0,543.0,543.0,565.0
1121,TR082,Computer Science and Business,555.0,,555.0,578.0
1122,TR083,Sociology and Social Policy,498.0,487.0,478.0,513.0
1123,TR084,Social Studies (Social Work),462.0,,462.0,495.0
1124,TR085,Business Studies and French,540.0,531.0,521.0,543.0
1125,TR086,Business Studies and German,509.0,499.0,499.0,518.0
1126,TR087,Business Studies and Russian,474.0,465.0,456.0,488.0
1127,TR089,Business Studies and Polish,444.0,424.0,424.0,468.0
1128,TR090,Business Studies and Spanish,531.0,,531.0,542.0
1129,TR091,General Nursing (Meath and St James`s),429.0,,429.0,455.0
1130,TR093,General Nursing (Adelaide School of Nursing),430.0,429.0,414.0,441.0
1131,TR095,Mental Health Nursing,408.0,,408.0,430.0
1132,TR097,Intellectual Disability Nursing,396.0,,378.0,398.0
1133,TR111,Ancient History and Archaeology/Geography,352.0,,352.0,429.0
1134,TR112,Ancient History and Archaeology/History,529.0,,529.0,
1135,TR113,Ancient History and Archaeology/History of Art and Architecture,337.0,,337.0,477.0
1136,TR114,Ancient History and Archaeology/Modern Language,337.0,,337.0,420.0
1137,TR117,Ancient History and Archaeology/Religion,342.0,,342.0,368.0
1138,TR166,Classical Civilisation/English Literature,498.0,496.0,496.0,523.0
1139,TR173,Classical Civilisation/History of Art and Architecture,335.0,,335.0,466.0
1140,TR177,Classical Civilisation/Modern Language,335.0,,335.0,536.0
1141,TR179,Classical Civilisation/Philosophy,499.0,,479.0,518.0
1142,TR198,Economics/Geography,534.0,,534.0,552.0
1143,TR202,Economics/History,534.0,,534.0,566.0
1144,TR207,Economics/Mathematics,566.0,,566.0,601.0
1145,TR208,Economics/Modern Language,534.0,,534.0,578.0
1146,TR209,Economics/Philosophy,534.0,,534.0,576.0
1147,TR212,Economics/Sociology,534.0,,534.0,541.0
1148,TR228,Classical Languages/English Literature,498.0,,498.0,533.0
1149,TR231,Classical Languages/History of Art and Architecture,349.0,,349.0,444.0
1150,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349.0,,349.0,566.0
1151,TR239,Classical Languages/Modern Language,349.0,,349.0,349.0
1152,TR262,English Literature/History,529.0,,529.0,552.0
1153,TR263,English Literature/History of Art and Architecture,498.0,497.0,497.0,533.0
1154,TR269,English Literature/Philosophy,499.0,,495.0,532.0
1155,TR272,English Literature/Sociology,498.0,,498.0,519.0
1156,TR276,English Literature/Drama Studies,498.0,,476.0,530.0
1157,TR277,English Literature/Modern Language,498.0,495.0,489.0,543.0
1158,TR311,Film/Drama Studies,521.0,,521.0,557.0
1159,TR312,Film/English Literature,521.0,,521.0,541.0
1160,TR320,Film/Music,521.0,,521.0,555.0
1161,TR322,Geography/History,529.0,,529.0,555.0
1162,TR323,Drama Studies/Modern Language,473.0,,473.0,551.0
1163,TR324,Film/Modern Language,521.0,,521.0,544.0
1164,TR325,Film/History,529.0,,529.0,625.0
1165,TR326,Geography/Modern Language,352.0,,352.0,440.0
1166,TR332,Geography/Sociology,498.0,496.0,496.0,520.0
1167,TR443,History/History of Art and Architecture,529.0,,529.0,532.0
1168,TR447,History/Modern Language,529.0,,529.0,554.0
1169,TR449,History/Philosophy,529.0,,529.0,543.0
1170,TR452,History/Sociology,529.0,,529.0,534.0
1171,TR454,History/Religion,529.0,,529.0,534.0
1172,TR455,History of Art and Architecture/Modern Language,334.0,,334.0,454.0
1173,TR479,History of Art and Architecture/Philosophy,499.0,,485.0,555.0
1174,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337.0,,337.0,473.0
1175,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335.0,,335.0,543.0
1176,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529.0,,529.0,555.0
1177,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335.0,,335.0,451.0
1178,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,
1179,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342.0,,342.0,
1180,TR597,Mathematics/Modern Language,566.0,,566.0,625.0
1181,TR598,Mathematics/Music,566.0,,566.0,
1182,TR599,Mathematics/Philosophy,566.0,,566.0,589.0
1183,TR629,Music/Philosophy,499.0,,499.0,
1184,TR635,Music/Drama Studies,473.0,,473.0,487.0
1185,TR636,Music/Modern Language,388.0,,388.0,455.0
1186,TR638,Music/Religion,388.0,,388.0,440.0
1187,TR639,Philosophy/Modern Language,499.0,,499.0,613.0
1188,TR662,Philosophy/Sociology,499.0,,499.0,531.0
1189,TR663,Religion/Classical Civilisation,342.0,,342.0,591.0
1190,TR664,Religion/English Literature,498.0,,498.0,565.0
1191,TR665,Religion/History of Art and Architecture,342.0,,342.0,452.0
1192,TR666,Religion/Modern Language,,,,
1193,TR667,French/Modern Language,403.0,,403.0,478.0
1194,TR668,German/Modern Language,389.0,,389.0,465.0
1195,TR669,Irish/Modern Language,368.0,,368.0,473.0
1196,TR670,Italian/Modern Language,381.0,,381.0,466.0
1197,TR671,Russian/Modern Language,332.0,,332.0,494.0
1198,TR672,Spanish/Modern Language,336.0,,336.0,488.0
1199,TR755,Sociology/Drama Studies,498.0,,498.0,543.0
1200,TR756,Sociology/Modern Language,498.0,495.0,495.0,510.0
1204,TR911,Children`s and General Nursing (Integrated),511.0,510.0,499.0,521.0
1205,TR913,Midwifery,478.0,477.0,473.0,508.0
1286,TU801,Biomedical Design,235.0,,235.0,381.0
1287,TU802,Electrical Services and Energy Management,317.0,300.0,300.0,352.0
1288,TU803,Electronic Engineering,243.0,243.0,243.0,337.0
1289,TU804,Engineering (Common Entry with Award options),271.0,,271.0,338.0
1290,TU805,Engineering (General Entry),402.0,,402.0,466.0
1291,TU806,Sustainable Energy Engineering,262.0,,262.0,318.0
1292,TU807,Computer Engineering in Mobile Systems,276.0,,276.0,305.0
1293,TU808,Engineering Software,260.0,260.0,260.0,339.0
1294,TU809,Mechanical Engineering,235.0,,235.0,347.0
1295,TU810,Mechatronic Engineering,270.0,,271.0,312.0
1296,TU811,Product Design,411.0,,411.0,444.0
1297,TU812,"Design,Technology and Innovation",270.0,,270.0,350.0
1298,TU813,Automation Engineering,218.0,218.0,218.0,339.0
1299,TU814,Transport Operations and Technology,285.0,251.0,251.0,372.0
1300,TU831,Architectural Technology,410.0,,410.0,444.0
